1759103142.049233 server started (25535): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1759103142.049248 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1759103142.049252 using libevent 2.1.12-stable poll
1759103142.049254 using ncurses 6.4 20240113
1759103142.049294 input_key_build: 0x10e003 (PasteStart) is \033[200~
1759103142.049296 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1759103142.049298 input_key_build: 0x10e195 (F1) is \033OP
1759103142.049299 input_key_build: 0x10e196 (F2) is \033OQ
1759103142.049301 input_key_build: 0x10e197 (F3) is \033OR
1759103142.049302 input_key_build: 0x10e198 (F4) is \033OS
1759103142.049304 input_key_build: 0x10e199 (F5) is \033[15~
1759103142.049306 input_key_build: 0x10e19a (F6) is \033[17~
1759103142.049307 input_key_build: 0x10e19b (F7) is \033[18~
1759103142.049309 input_key_build: 0x10e19c (F8) is \033[19~
1759103142.049310 input_key_build: 0x10e19d (F9) is \033[20~
1759103142.049312 input_key_build: 0x10e19e (F10) is \033[21~
1759103142.049313 input_key_build: 0x10e19f (F11) is \033[23~
1759103142.049315 input_key_build: 0x10e1a0 (F12) is \033[24~
1759103142.049316 input_key_build: 0x10e1a1 (IC) is \033[2~
1759103142.049318 input_key_build: 0x10e1a2 (DC) is \033[3~
1759103142.049319 input_key_build: 0x10e1a3 (Home) is \033[1~
1759103142.049321 input_key_build: 0x10e1a4 (End) is \033[4~
1759103142.049323 input_key_build: 0x10e1a5 (NPage) is \033[6~
1759103142.049324 input_key_build: 0x10e1a6 (PPage) is \033[5~
1759103142.049326 input_key_build: 0x10e1a7 (BTab) is \033[Z
1759103142.049328 input_key_build: 0x10e1a8 (Up) is \033[A
1759103142.049329 input_key_build: 0x10e1a9 (Down) is \033[B
1759103142.049333 input_key_build: 0x10e1aa (Left) is \033[D
1759103142.049335 input_key_build: 0x10e1ab (Right) is \033[C
1759103142.049336 input_key_build: 0x10e1ac (KP/) is /
1759103142.049338 input_key_build: 0x10e1ad (KP*) is *
1759103142.049340 input_key_build: 0x10e1ae (KP-) is -
1759103142.049341 input_key_build: 0x10e1af (KP7) is 7
1759103142.049343 input_key_build: 0x10e1b0 (KP8) is 8
1759103142.049344 input_key_build: 0x10e1b1 (KP9) is 9
1759103142.049346 input_key_build: 0x10e1b2 (KP+) is +
1759103142.049347 input_key_build: 0x10e1b3 (KP4) is 4
1759103142.049349 input_key_build: 0x10e1b4 (KP5) is 5
1759103142.049350 input_key_build: 0x10e1b5 (KP6) is 6
1759103142.049352 input_key_build: 0x10e1b6 (KP1) is 1
1759103142.049353 input_key_build: 0x10e1b7 (KP2) is 2
1759103142.049355 input_key_build: 0x10e1b8 (KP3) is 3
1759103142.049357 input_key_build: 0x10e1b9 (KPEnter) is \n
1759103142.049358 input_key_build: 0x10e1ba (KP0) is 0
1759103142.049360 input_key_build: 0x10e1bb (KP.) is .
1759103142.049361 input_key_build: 0x200000000009 (C-Tab) is \t
1759103142.049363 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1759103142.049365 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1759103142.049366 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1759103142.049368 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1759103142.049370 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1759103142.049374 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1759103142.049375 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1759103142.049377 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1759103142.049379 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1759103142.049380 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1759103142.049382 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1759103142.049384 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1759103142.049385 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1759103142.049387 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1759103142.049388 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1759103142.049390 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1759103142.049392 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1759103142.049393 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1759103142.049395 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1759103142.049401 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1759103142.049403 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1759103142.049405 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1759103142.049406 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1759103142.049408 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1759103142.049409 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1759103142.049411 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1759103142.049413 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1759103142.049414 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1759103142.049416 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1759103142.049417 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1759103142.049419 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1759103142.049421 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1759103142.049422 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1759103142.049424 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1759103142.049426 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1759103142.049427 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1759103142.049429 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1759103142.049430 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1759103142.049432 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1759103142.049434 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1759103142.049435 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1759103142.049437 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1759103142.049438 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1759103142.049440 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1759103142.049442 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1759103142.049443 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1759103142.049445 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1759103142.049447 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1759103142.049448 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1759103142.049450 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1759103142.049454 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1759103142.049455 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1759103142.049457 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1759103142.049459 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1759103142.049460 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1759103142.049462 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1759103142.049464 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1759103142.049465 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1759103142.049467 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1759103142.049469 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1759103142.049470 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1759103142.049472 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1759103142.049473 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1759103142.049475 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1759103142.049477 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1759103142.049478 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1759103142.049480 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1759103142.049482 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1759103142.049484 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1759103142.049485 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1759103142.049487 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1759103142.049489 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1759103142.049490 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1759103142.049492 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1759103142.049494 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1759103142.049495 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1759103142.049500 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1759103142.049502 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1759103142.049504 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1759103142.049505 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1759103142.049507 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1759103142.049509 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1759103142.049510 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1759103142.049512 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1759103142.049514 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1759103142.049515 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1759103142.049517 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1759103142.049519 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1759103142.049520 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1759103142.049522 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1759103142.049524 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1759103142.049525 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1759103142.049527 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1759103142.049529 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1759103142.049530 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1759103142.049532 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1759103142.049534 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1759103142.049535 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1759103142.049537 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1759103142.049539 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1759103142.049540 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1759103142.049542 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1759103142.049544 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1759103142.049545 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1759103142.049547 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1759103142.049548 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1759103142.049550 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1759103142.049552 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1759103142.049553 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1759103142.049557 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1759103142.049559 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1759103142.049561 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1759103142.049562 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1759103142.049564 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1759103142.049566 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1759103142.049568 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1759103142.049569 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1759103142.049571 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1759103142.049573 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1759103142.049574 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1759103142.049576 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1759103142.049578 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
